id,name,ml_target,Clustering_Coefficient,Triangles,Squares,K_Core,Comunidad,asyn_lpa_community
0,Eiryyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,shawflying,0.0,0.1785714285714285,6.227735844356426e-05,0.10088756150939412,0.15151515151515152,0.0022271714922048997,0.0
2,JpMCarrilho,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SuhwanCha,0.0,0.0,0.0,0.0267449445531637,0.09090909090909091,0.004454342984409799,0.0
4,sunilangadi2,1.0,0.0,0.0,0.0,0.030303030303030304,0.011135857461024499,0.0
5,j6montoya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,sfate,0.0,0.3333333333333333,6.227735844356426e-05,0.05420044547952413,0.15151515151515152,0.0,0.0
7,amituuush,0.0,0.3214285714285714,0.00011209924519841567,0.07563703447480684,0.21212121212121213,0.0,0.0
8,mauroherlein,0.0,0.75,0.0002615649054629699,0.08045492009788101,0.21212121212121213,0.0022271714922048997,0.0
9,ParadoxZero,0.0,0.238095238095238,6.227735844356426e-05,0.0027488211619317283,0.12121212121212122,0.004454342984409799,0.0
10,llazzaro,0.0,0.0727272727272727,0.0019430535834392049,0.02409756599966212,0.8181818181818182,0.0,0.0
11,beeva-manueldepaz,0.0,1.0,1.2455471688712852e-05,0.23787135350990846,0.030303030303030304,0.0022271714922048997,0.0
12,damianmuti,0.0,0.1333333333333333,2.4910943377425704e-05,0.025199080754636307,0.15151515151515152,0.0,0.0
13,apobbati,0.0,0.6666666666666666,2.4910943377425704e-05,0.08114712274736002,0.06060606060606061,0.006681514476614699,0.0
14,hwlv,0.0,0.1895424836601307,0.0003612086789726727,0.04861397558482365,0.48484848484848486,0.0022271714922048997,0.0
15,haroldoramirez,0.0,0.3725490196078431,0.0007099618862566326,0.05291632532725682,0.48484848484848486,0.0022271714922048997,0.0
16,jasonblanchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,BahiHussein,0.0,0.0,0.0,0.06810631229235868,0.06060606060606061,0.0,0.0
18,itsmevanessi,0.0,0.6666666666666666,2.4910943377425704e-05,0.010505876457725888,0.06060606060606061,0.0,0.0
19,nwjsmith,0.0,0.1125541125541125,0.0003238422639065342,0.030050234837981908,0.36363636363636365,0.0,0.0
